H	C102350238-017	2026/01/01	2026/03/31	AHIG	氏名 名前1	ual-nmht	ユニアデックス株式会社	AHIG	ual-nmht	1	1	1	1	1	1	1	1	1	6:30	9:00	16:30	12:00	60						0:00
D	2026/02/01															
D	2026/02/02	1	9:00	16:30	1:00			0	6:30	6:30						1
D	2026/02/03															
D	2026/02/04	1	9:00	16:30	1:00		*[テレワーク、場所：自宅]	0	6:30	6:30						2
D	2026/02/05															
D	2026/02/06	1	9:00	16:30	1:00		*[テレワーク、場所：自宅]	0	6:30	6:30						2
D	2026/02/07															
D	2026/02/08															
D	2026/02/09	1	9:00	16:30	1:00		*[テレワーク、場所：自宅]	0	6:30	6:30						2
D	2026/02/10	1	9:00	16:30	1:00			0	6:30	6:30						1
D	2026/02/11															
D	2026/02/12															
D	2026/02/13	1	9:00	16:30	1:00		*[テレワーク、場所：自宅]	0	6:30	6:30						2
D	2026/02/14															
D	2026/02/15															
D	2026/02/16	2					*[私事都合]	0							6:30	
D	2026/02/17															
D	2026/02/18	1	9:00	16:30	1:00		*[テレワーク、場所：自宅]	0	6:30	6:30						2
D	2026/02/19															
D	2026/02/20	1	9:00	16:30	1:00		*[テレワーク、場所：自宅]	0	6:30	6:30						2
D	2026/02/21															
D	2026/02/22															
D	2026/02/23															
D	2026/02/24	1	9:00	16:30	1:00			0	6:30	6:30						1
D	2026/02/25	2					*[私事都合のため]	0							6:30	
D	2026/02/26															
D	2026/02/27	1	9:00	16:30	1:00		*[テレワーク、場所：自宅 退勤打刻忘れです。]	0	6:30	6:30						2
D	2026/02/28															
H	C103850866-004	2026/01/01	2026/03/31	AIN	氏名 名前2	ual-nmht	ユニアデックス株式会社	AIN	ual-nmht	1	1	1	1	1	0	0	0	0	7:30	9:00	17:30	12:00	60						0:00
D	2026/02/01															
D	2026/02/02	1	9:00	17:30	1:00		*[テレワーク、場所：自宅]	0	7:30	7:30						2
D	2026/02/03	1	9:00	17:30	1:00			0	7:30	7:30						1
D	2026/02/04	1	9:00	17:30	1:00		*[テレワーク、場所：自宅]	0	7:30	7:30						2
D	2026/02/05	1	9:00	18:00	1:00			0	8:00	7:30	0:30					1
D	2026/02/06	1	9:00	17:30	1:00		*[テレワーク、場所：自宅]	0	7:30	7:30						2
D	2026/02/07															
D	2026/02/08															
D	2026/02/09	1	9:00	17:30	1:00			0	7:30	7:30						1
D	2026/02/10	1	9:00	18:00	1:00			0	8:00	7:30	0:30					1
D	2026/02/11															
D	2026/02/12	1	9:00	17:30	1:00		*[テレワーク、場所：自宅]	0	7:30	7:30						2
D	2026/02/13	1	9:00	17:30	1:00			0	7:30	7:30						1
D	2026/02/14															
D	2026/02/15															
D	2026/02/16	1	9:00	17:30	1:00			0	7:30	7:30						1
D	2026/02/17	1	9:00	17:30	1:00		*[テレワーク、場所：自宅]	0	7:30	7:30						2
D	2026/02/18	1	9:00	17:30	1:00		*[テレワーク、場所：自宅]	0	7:30	7:30						2
